[1/1024, 1848.71520974671]
[3/1024, 431.185022468161]
[5/1024, 447.262932416172]
[7/1024, 147.869725279601]
[9/1024, 185.815931543323]
[11/1024, -304.038387513237]
[13/1024, 44.4944385988670]
[15/1024, -75.5891923152099]
[17/1024, 161.223376224652]
[19/1024, 217.309876972540]
[21/1024, -126.173545048169]
[23/1024, -377.483279324141]
[25/1024, 683.442721268444]
[27/1024, 253.683014927988]
[29/1024, 86.9640016794409]
[31/1024, -695.469575877105]
[33/1024, -717.243252720148]
[35/1024, -328.096275375176]
[37/1024, -410.811576947000]
[39/1024, -361.005435707685]
[41/1024, 823.098982412714]
[43/1024, -20.0426729360234]
[45/1024, -382.006286592334]
[47/1024, -35.2326961765357]
[49/1024, 262.405304830717]
[51/1024, -223.311054512201]
[53/1024, 165.464429860793]
[55/1024, 50.6656602343549]
[57/1024, 352.726462131278]
[59/1024, 102.462431045651]
[61/1024, -110.091285703795]
[63/1024, -508.538850698658]
[65/1024, -502.492361949076]
[67/1024, 363.600191642319]
[69/1024, -57.4806993174049]
[71/1024, 86.5460048884177]
[73/1024, -376.907020579006]
[75/1024, 171.867623176511]
[77/1024, 309.636648218941]
[79/1024, 159.513707305949]
[81/1024, 252.581322599998]
[83/1024, -680.520601573726]
[85/1024, -14.6139685772832]
[87/1024, -257.441805617775]
[89/1024, -829.203771914901]
[91/1024, -623.303531492131]
[93/1024, -1066.00058928610]
[95/1024, -378.384869788768]
[97/1024, -404.523582579277]
[99/1024, -59.5530136984657]
[101/1024, 91.6221189531278]
[103/1024, -140.086443034263]
[105/1024, -658.538489979734]
[107/1024, 496.366822717735]
[109/1024, 152.736541032073]
[111/1024, -92.7189462136263]
[113/1024, 203.198943066762]
[115/1024, 238.808771661790]
[117/1024, -693.664723864672]
[119/1024, -25.0393686994756]
[121/1024, -33.6859896665975]
[123/1024, 84.7622257082418]
[125/1024, 202.677081004181]
[127/1024, -368.531492668683]
[129/1024, -244.679381384493]
[131/1024, 108.132833927721]
[133/1024, 454.519845692372]
[135/1024, 51.7768289110415]
[137/1024, 24.3479049735328]
[139/1024, -172.867581720132]
[141/1024, 5.85633904869857]
[143/1024, -2.07530859996313]
[145/1024, 288.870322714479]
[147/1024, 156.662160595828]
[149/1024, 19.7178109201638]
[151/1024, -177.651541145108]
[153/1024, -429.680971131474]
[155/1024, -21.4867242562323]
[157/1024, -78.7652843482363]
[159/1024, -227.084692385820]
[161/1024, -253.426738209720]
[163/1024, -83.7899909335980]
[165/1024, -229.618416733856]
[167/1024, -151.655668593829]
[169/1024, -423.331837354468]
[171/1024, 521.523800185979]
[173/1024, -143.941023187620]
[175/1024, 39.9400492864260]
[177/1024, 450.945468273020]
[179/1024, -48.4041035853058]
[181/1024, 99.6334836189913]
[183/1024, 208.214368539074]
[185/1024, 11.6746794506794]
[187/1024, 382.867615788894]
[189/1024, -114.722798034254]
[191/1024, -185.987317733053]
[193/1024, -180.374846944951]
[195/1024, -864.581028249456]
[197/1024, 280.470190208516]
[199/1024, 59.1037641610695]
[201/1024, 46.6842980952025]
[203/1024, 84.4351635709213]
[205/1024, 1326.28387289612]
[207/1024, 138.990580551360]
